ID,Name,Code,R,G,B
1,Black,BLK,0,0,0
2,Dark Gray,DGR,60,60,60
3,Gray,GRY,120,120,120
4,Light Gray,LGY,210,210,210
5,White,WHT,255,255,255
6,Deep Red,DRD,96,0,24
7,Red,RED,237,28,36
8,Orange,ORG,255,127,39
9,Gold,GLD,246,170,9
10,Yellow,YEL,249,221,59
11,Light Yellow,LYL,255,250,188
12,Dark Green,DGN,14,185,104
13,Green,GRN,19,230,123
14,Light Green,LGN,135,255,94
15,Dark Teal,DTL,12,129,110
16,Teal,TEL,16,174,130
17,Light Teal,LTL,19,225,190
18,Cyan,CYN,96,247,242
19,Dark Blue,DBL,40,80,158
20,Blue,BLU,64,147,228
21,Indigo,IND,107,80,246
22,Light Indigo,LIN,153,177,251
23,Dark Purple,DPU,120,12,153
24,Purple,PUR,170,56,185
25,Light Purple,LPU,224,159,249
26,Dark Pink,DPK,203,0,122
27,Pink,PNK,236,31,128
28,Light Pink,LPK,243,141,169
29,Dark Brown,DBR,104,70,52
30,Brown,BRN,149,104,42
31,Beige,BEI,248,178,119
32,Transparent,TRN,0,0,0
33,Medium Gray,MGY,170,170,170
34,Dark Red,DDR,165,14,30
35,Light Red,LRD,250,128,114
36,Dark Orange,DOR,228,92,26
37,Dark Goldenrod,DGD,156,132,49
38,Goldenrod,GDR,197,173,49
39,Light Goldenrod,LGD,232,212,95
40,Dark Olive,DOL,74,107,58
41,Olive,OLV,90,148,74
42,Light Olive,LOL,132,197,115
43,Dark Cyan,DCY,15,121,159
44,Light Cyan,LCY,187,250,242
45,Light Blue,LBL,125,199,255
46,Dark Indigo,DIN,77,49,184
47,Dark Slate Blue,DSB,74,66,132
48,Slate Blue,SLB,122,113,196
49,Light Slate Blue,LSB,181,174,241
50,Dark Peach,DPC,155,82,73
51,Peach,PCH,209,128,120
52,Light Peach,LPC,250,182,164
53,Light Brown,LBR,219,164,99
54,Dark Tan,DTN,123,99,82
55,Tan,TAN,156,132,107
56,Light Tan,LTN,214,181,148
57,Dark Beige,DBG,209,128,81
58,Light Beige,LBE,255,197,165
59,Dark Stone,DST,109,100,63
60,Stone,STN,148,140,107
61,Light Stone,LST,205,197,158
62,Dark Slate,DSL,51,57,65
63,Slate,SLT,109,117,141
64,Light Slate,LSL,179,185,209